Uid,Time,Symbol,C/P,Trade,Side,Str,Spot,Exp,Size,Prems,Price,Bid,Ask,Vol,OI,Ivol,Label,Events,Details
14475635,2023-02-06 10:25:46,QQQ,PUT,SWEEP,AT BID,295,303.26,2023-02-15,150,37.50K,2.5,2.5,2.52,545,223,30.49,,,
14475634,2023-02-06 10:25:46,SPX,PUT,SPLIT,AT BID,4070,4101.88,2023-02-06,200,44.00K,2.2,2.2,2.25,10970,1076,29.06,,,
14475633,2023-02-06 10:25:46,TSLA,PUT,SWEEP,TO BID,195,192.24,2023-02-10,57,52.48K,9.21,9.2,9.3,16194,6747,94.84,,,
14475632,2023-02-06 10:25:43,QQQ,CALL,SPLIT,AT BID,310,303.23,2023-02-17,123,42.07K,3.42,3.42,3.43,3788,24075,28.22,,,
14475631,2023-02-06 10:25:43,IWM,PUT,SPLIT,AT ASK,195,194.15,2023-02-10,250,63.25K,2.53,2.52,2.53,1368,7415,25.47,,,
14475627,2023-02-06 10:25:43,TSLA,CALL,,,210,192.22,2023-03-03,50,46.25K,9.25,9.2,9.3,389,1858,77.95,,,
14475625,2023-02-06 10:25:43,TSLA,CALL,,,210,192.22,2023-03-03,50,46.25K,9.25,9.2,9.3,339,1858,77.95,,,
14475623,2023-02-06 10:25:43,TSLA,PUT,,,170,192.25,2023-03-03,100,61.50K,6.15,6.1,6.2,212,2968,78.44,,,
14475630,2023-02-06 10:25:42,SPY,PUT,SWEEP,,410,409.05,2023-02-06,173,30.77K,1.78,1.76,1.78,86530,13530,28.57,,,
14475629,2023-02-06 10:25:42,TSLA,PUT,SWEEP,ABV ASK,190,192.54,2023-02-10,79,50.99K,6.45,6.35,6.45,37659,6553,92.75,,,
14475621,2023-02-06 10:25:42,AEHR,PUT,,AT ASK,35,35.12,2023-03-17,140,50.40K,3.6,3.4,3.6,183,2846,81.47,,,
14475620,2023-02-06 10:25:42,NVDA,PUT,,TO BID,225,210.62,2023-02-24,100,201.10K,20.11,20.05,20.2,241,149,61.26,,,
14475628,2023-02-06 10:25:41,TSLA,PUT,SWEEP,ABV ASK,185,192.57,2023-02-10,334,143.66K,4.3,4.2,4.3,14265,8886,92.62,,,
14475622,2023-02-06 10:25:41,CRWD,CALL,SWEEP,TO BID,120,114.08,2023-02-10,486,60.77K,1.25,1.25,1.32,780,4490,67.36,,,
14475619,2023-02-06 10:25:39,BAC,PUT,SWEEP,AT ASK,36,36.13,2023-02-17,500,28.50K,0.57,0.55,0.57,937,7351,26.18,,,
14475618,2023-02-06 10:25:39,TSLA,CALL,SWEEP,AT ASK,195,192.43,2023-02-10,160,107.20K,6.7,6.65,6.7,26398,8851,94.25,,,
14475707,2023-02-06 10:25:37,SPX,PUT,CANCL,BLW BID,3550,4188.21,2023-09-15,100,744.10K,74.41,75.4,76,103,3951,24.33,,,
14475617,2023-02-06 10:25:37,NFLX,CALL,SPLIT,AT ASK,375,362.63,2023-02-10,138,35.88K,2.6,2.58,2.6,4848,2410,44.44,,,
14475616,2023-02-06 10:25:37,TSLA,CALL,SWEEP,ABV ASK,195,192.38,2023-02-10,161,107.87K,6.7,6.65,6.7,26238,8851,94.5,,,
14475615,2023-02-06 10:25:37,AAPL,CALL,SWEEP,AT ASK,155,151.63,2023-05-19,68,56.78K,8.35,8.3,8.35,379,8017,28.58,,,
14475706,2023-02-06 10:25:36,SPX,CALL,CANCL,ABV ASK,4750,4188.1,2023-09-15,100,275.60K,27.56,26.1,26.6,200,612,13.81,,,
14475608,2023-02-06 10:25:36,SQQQ,CALL,,AT BID,32,35.7,2023-02-10,200,79.00K,3.95,3.95,4,1022,623,94.56,,,
14475604,2023-02-06 10:25:36,XOM,CALL,,,105,110.77,2023-03-17,76,57.91K,7.62,7.55,7.7,249,4198,31.3,,,
14475603,2023-02-06 10:25:36,XOM,CALL,,,100,110.77,2023-03-17,76,87.93K,11.57,11.5,11.65,263,3045,33.48,,,
14475602,2023-02-06 10:25:36,XOM,CALL,,,100,110.77,2023-03-17,82,94.87K,11.57,11.5,11.65,187,3045,33.47,,,
14475601,2023-02-06 10:25:36,XOM,CALL,,,105,110.77,2023-03-17,82,62.48K,7.62,7.55,7.7,173,4198,31.3,,,
14475599,2023-02-06 10:25:35,TSLA,CALL,,AT BID,200,192.34,2023-03-10,50,69.50K,13.9,13.9,13.95,975,1067,73.77,,,
14475600,2023-02-06 10:25:33,F,CALL,SWEEP,AT BID,15,12.82,2025-01-17,203,32.68K,1.61,1.61,1.64,345,10181,34.58,,SSR,
14475598,2023-02-06 10:25:33,TSLA,PUT,SWEEP,AT BID,180,192.42,2023-02-10,102,28.15K,2.76,2.76,2.78,13572,9232,92.37,,,
14475597,2023-02-06 10:25:33,TSLA,CALL,SWEEP,AT ASK,195,192.39,2023-02-10,82,54.94K,6.7,6.6,6.7,26066,8851,94.48,,,
14475595,2023-02-06 10:25:33,META,CALL,,,200,187.79,2023-03-17,200,118.00K,5.9,5.85,5.95,546,12369,41.77,,,
14475596,2023-02-06 10:25:32,AAPL,CALL,SWEEP,AT BID,157.5,151.57,2023-02-17,251,32.13K,1.28,1.28,1.29,2057,7215,31.97,,,
14475592,2023-02-06 10:25:29,LUMN,CALL,SWEEP,AT ASK,5.5,5.12,2023-02-10,1999,27.99K,0.14,0.13,0.14,2555,3373,125.37,,,
14475591,2023-02-06 10:25:29,AMZN,CALL,SWEEP,AT BID,102,101.81,2023-02-10,300,62.10K,2.07,2.07,2.09,4028,2011,48.4,,,
14475590,2023-02-06 10:25:29,NVDA,CALL,SWEEP,TO ASK,215,210.46,2023-02-10,70,25.85K,3.69,3.65,3.7,12402,4476,61.31,,,
14475589,2023-02-06 10:25:28,ON,CALL,SPLIT,TO BID,100,81.81,2023-07-21,139,54.21K,3.9,3.8,4.1,309,334,41.22,,Post-Earnings,
14475588,2023-02-06 10:25:27,TSLA,CALL,SWEEP,TO ASK,300,192.35,2023-06-16,498,323.70K,6.5,6.4,6.55,1985,16460,65.79,,,
